SALE_ID,SALE_DATE,GEO_TERRITORY,CHANNEL,PRODUCT_SKU,PRODUCT_CATEGORY,ACTUAL_SALES,UNITS_SOLD,AD_SPEND,DISCOUNT_RATE
SALE-2025-000001,2025-10-01,North,Online,AURA-SPK-001,Electronics,687.53,8,88.33,0.1
SALE-2025-000002,2025-10-01,North,Online,AURA-CBL-001,Cables,153.45,12,14.95,0.0
SALE-2025-000003,2025-10-01,North,Online,AURA-ACC-001,Accessories,107.11,3,13.89,0.05
SALE-2025-000004,2025-10-01,North,Online,AURA-HP-003,Electronics,1221.36,6,164.7,0.0
SALE-2025-000005,2025-10-01,North,Online,AURA-SPK-002,Electronics,344.51,7,45.7,0.0
SALE-2025-000006,2025-10-01,North,Online,AURA-SPK-003,Electronics,1654.73,10,226.17,0.1
SALE-2025-000007,2025-10-01,North,Online,AURA-SPK-004,Electronics,708.72,6,99.41,0.0
SALE-2025-000008,2025-10-01,North,Online,AURA-CBL-002,Cables,85.19,8,10.71,0.2
SALE-2025-000009,2025-10-01,North,Online,AURA-CBL-003,Cables,154.74,11,20.6,0.0
SALE-2025-000010,2025-10-01,North,Online,AURA-CBL-006,Cables,124.74,9,16.97,0.0
SALE-2025-000011,2025-10-01,North,Online,AURA-ACC-002,Accessories,131.8,7,16.75,0.1
SALE-2025-000012,2025-10-01,North,Online,AURA-ACC-004,Accessories,355.72,15,42.04,0.0
SALE-2025-000013,2025-10-01,North,Online,AURA-ACC-007,Accessories,165.8,10,17.74,0.0
SALE-2025-000014,2025-10-01,North,Online,AURA-HP-005,Electronics,191.75,3,26.81,0.1
SALE-2025-000015,2025-10-01,North,Online,AURA-SPK-005,Electronics,123.71,2,14.6,0.0
SALE-2025-000016,2025-10-01,North,Online,AURA-ACC-009,Accessories,566.33,12,69.02,0.15
SALE-2025-000017,2025-10-01,North,Online,AURA-CBL-007,Cables,259.03,6,37.27,0.1
SALE-2025-000018,2025-10-01,North,Online,AURA-ACC-010,Accessories,520.23,9,71.44,0.0
SALE-2025-000019,2025-10-01,North,Retail,AURA-HP-002,Electronics,73.01,1,8.86,0.1
SALE-2025-000020,2025-10-01,North,Retail,AURA-CBL-001,Cables,189.89,14,24.44,0.1
SALE-2025-000021,2025-10-01,North,Retail,AURA-HP-004,Electronics,306.71,8,40.07,0.15
SALE-2025-000022,2025-10-01,North,Retail,AURA-SPK-002,Electronics,399.97,8,41.83,0.0
SALE-2025-000023,2025-10-01,North,Retail,AURA-SPK-004,Electronics,801.61,6,106.29,0.1
SALE-2025-000024,2025-10-01,North,Retail,AURA-CBL-005,Cables,71.78,6,7.28,0.0
SALE-2025-000025,2025-10-01,North,Retail,AURA-ACC-003,Accessories,355.4,13,35.58,0.05
SALE-2025-000026,2025-10-01,North,Retail,AURA-ACC-006,Accessories,12.93,2,1.65,0.1
SALE-2025-000027,2025-10-01,North,Retail,AURA-ACC-007,Accessories,16.08,1,2.26,0.2
SALE-2025-000028,2025-10-01,North,Retail,AURA-HP-005,Electronics,202.06,3,29.05,0.15
SALE-2025-000029,2025-10-01,North,Retail,AURA-HP-006,Electronics,1241.86,5,123.04,0.0
SALE-2025-000030,2025-10-01,North,Retail,AURA-SPK-005,Electronics,454.02,8,48.39,0.0
SALE-2025-000031,2025-10-01,North,Retail,AURA-CBL-007,Cables,365.3,10,44.08,0.0
SALE-2025-000032,2025-10-01,North,Retail,AURA-HP-007,Electronics,741.1,8,104.42,0.1
SALE-2025-000033,2025-10-01,North,Retail,AURA-SPK-006,Electronics,417.35,4,41.96,0.15
SALE-2025-000034,2025-10-01,North,Partner,AURA-HP-002,Electronics,630.14,8,74.62,0.15
