RETURN_ID,RETURN_DATE,SALE_DATE,PRODUCT_SKU,GEO_TERRITORY,CHANNEL,RETURN_REASON,REFUND_AMOUNT,RETURN_RATE
RET-2025-000001,2025-10-23,2025-10-01,AURA-CBL-001,North,Online,Changed Mind,11.33,0.07
RET-2025-000002,2025-10-14,2025-10-01,AURA-CBL-001,North,Online,Changed Mind,11.36,0.07
RET-2025-000003,2025-10-16,2025-10-01,AURA-CBL-001,North,Online,Wrong Item,11.12,0.07
RET-2025-000004,2025-10-26,2025-10-01,AURA-SPK-002,North,Online,Wrong Item,48.04,0.07
RET-2025-000005,2025-10-25,2025-10-01,AURA-SPK-003,North,Online,Other,151.21,0.07
RET-2025-000006,2025-10-06,2025-10-01,AURA-SPK-003,North,Online,Other,147.71,0.07
RET-2025-000007,2025-10-21,2025-10-01,AURA-SPK-003,North,Online,Other,147.05,0.07
RET-2025-000008,2025-10-22,2025-10-01,AURA-SPK-004,North,Online,Wrong Item,109.01,0.07
RET-2025-000009,2025-10-18,2025-10-01,AURA-CBL-002,North,Online,Wrong Item,10.51,0.07
RET-2025-000010,2025-10-09,2025-10-01,AURA-CBL-003,North,Online,Changed Mind,13.82,0.07
RET-2025-000011,2025-10-20,2025-10-01,AURA-CBL-006,North,Online,Defective,12.77,0.07
RET-2025-000012,2025-10-14,2025-10-01,AURA-CBL-006,North,Online,Other,12.65,0.07
RET-2025-000013,2025-10-15,2025-10-01,AURA-ACC-004,North,Online,Wrong Item,20.53,0.07
RET-2025-000014,2025-10-18,2025-10-01,AURA-ACC-009,North,Online,Changed Mind,43.45,0.07
RET-2025-000015,2025-10-16,2025-10-01,AURA-CBL-007,North,Online,Wrong Item,41.9,0.07
RET-2025-000016,2025-10-10,2025-10-01,AURA-ACC-010,North,Online,Changed Mind,52.69,0.07
RET-2025-000017,2025-10-08,2025-10-01,AURA-CBL-001,North,Retail,Defective,13.23,0.07
RET-2025-000018,2025-10-19,2025-10-01,AURA-CBL-001,North,Retail,Changed Mind,12.06,0.07
RET-2025-000019,2025-10-25,2025-10-01,AURA-SPK-004,North,Retail,Wrong Item,128.17,0.07
RET-2025-000020,2025-10-24,2025-10-01,AURA-SPK-004,North,Retail,Changed Mind,127.01,0.07
RET-2025-000021,2025-10-16,2025-10-01,AURA-ACC-003,North,Retail,Wrong Item,27.11,0.07
RET-2025-000022,2025-10-14,2025-10-01,AURA-ACC-003,North,Retail,Wrong Item,23.56,0.07
RET-2025-000023,2025-10-25,2025-10-01,AURA-ACC-003,North,Retail,Changed Mind,26.17,0.07
RET-2025-000024,2025-10-07,2025-10-01,AURA-ACC-003,North,Retail,Defective,27.03,0.07
RET-2025-000025,2025-10-16,2025-10-01,AURA-CBL-007,North,Retail,Other,31.76,0.07
RET-2025-000026,2025-10-10,2025-10-01,AURA-CBL-007,North,Retail,Wrong Item,31.91,0.07
RET-2025-000027,2025-10-22,2025-10-01,AURA-CBL-007,North,Retail,Other,31.99,0.07
RET-2025-000028,2025-10-05,2025-10-01,AURA-HP-007,North,Retail,Defective,87.36,0.07
RET-2025-000029,2025-10-13,2025-10-01,AURA-SPK-006,North,Retail,Changed Mind,104.08,0.07
RET-2025-000030,2025-10-17,2025-10-01,AURA-CBL-005,North,Partner,Changed Mind,10.09,0.07
